id;category;topic;difficulty;question;answer1;answer2;answer3;answer4;correctAnswer;explanation;media
pruefungssprache-018;Prüfungssprache;Prüfungsformulierungen;medium;Was bedeutet „Erläutern Sie anhand eines Beispiels“?;Die Erklärung soll durch ein passendes Beispiel verdeutlicht werden;Nur das Beispiel nennen;Nur eine Definition schreiben;Eine Rechnung durchführen;0;„Anhand eines Beispiels“ bedeutet, dass das Beispiel zur Erklärung verwendet werden soll.;
pruefungssprache-019;Prüfungssprache;Prüfungsformulierungen;medium;Was bedeutet „Vergleichen Sie die beiden Lösungen“?;Gemeinsamkeiten und Unterschiede der beiden Lösungen darstellen;Nur die bessere Lösung nennen;Beide Lösungen addieren;Nur die Kosten berechnen;0;Ein Vergleich verlangt eine Gegenüberstellung beider Lösungen.;
pruefungssprache-020;Prüfungssprache;Prüfungsformulierungen;medium;Was bedeutet „Beurteilen Sie, welche Lösung geeigneter ist“?;Die Lösungen anhand sinnvoller Kriterien bewerten und eine Entscheidung treffen;Nur technische Daten abschreiben;Nur die billigere Lösung wählen;Beide Lösungen als gleich bezeichnen;0;„Beurteilen“ verlangt eine begründete Bewertung.;
pruefungssprache-021;Prüfungssprache;Prüfungsformulierungen;medium;Was bedeutet „Ermitteln Sie den benötigten Speicherplatz“?;Den erforderlichen Speicherplatz herausfinden beziehungsweise berechnen;Nur den vorhandenen Speicher nennen;Den Speicher erklären;Eine Festplatte auswählen, ohne zu rechnen;0;„Ermitteln“ verlangt hier das Bestimmen des gesuchten Werts.;
pruefungssprache-022;Prüfungssprache;Prüfungsformulierungen;medium;Was bedeutet „Berechnen Sie den prozentualen Anteil“?;Den Anteil als Prozentwert bestimmen;Nur den Gesamtwert nennen;Den Anteil beschreiben, ohne zu rechnen;Nur die Differenz bilden;0;Die Formulierung verlangt eine Prozentrechnung.;
pruefungssprache-023;Prüfungssprache;Prüfungsformulierungen;medium;Was bedeutet „Geben Sie das Ergebnis in Prozent an“?;Das Endergebnis soll als Prozentwert dargestellt werden;Das Ergebnis soll in Euro angegeben werden;Es darf keine Rechnung gezeigt werden;Das Ergebnis muss gerundet werden;0;„In Prozent angeben“ bestimmt die gewünschte Einheit des Ergebnisses.;
pruefungssprache-024;Prüfungssprache;Prüfungsformulierungen;medium;Was bedeutet „Runden Sie auf zwei Nachkommastellen“?;Das Ergebnis soll zwei Stellen nach dem Komma haben;Das Ergebnis soll auf eine ganze Zahl gerundet werden;Das Ergebnis soll verdoppelt werden;Nur die ersten zwei Ziffern sollen verwendet werden;0;„Nachkommastellen“ sind die Stellen rechts vom Komma.;
pruefungssprache-025;Prüfungssprache;Prüfungsformulierungen;medium;Was bedeutet „Gehen Sie davon aus, dass ...“?;Die folgende Annahme soll für die Aufgabe als gegeben betrachtet werden;Die Aussage soll bewiesen werden;Die Aussage soll ignoriert werden;Es muss eine andere Annahme gewählt werden;0;Diese Formulierung gibt eine Annahme vor, mit der weitergearbeitet werden soll.;
pruefungssprache-026;Prüfungssprache;Prüfungsformulierungen;medium;Was bedeutet „Unter der Annahme, dass ...“?;Die Berechnung oder Bewertung soll auf dieser Voraussetzung basieren;Die Voraussetzung ist falsch;Es darf keine Rechnung durchgeführt werden;Nur eine Definition ist gefragt;0;„Unter der Annahme“ gibt eine Voraussetzung für die weitere Bearbeitung vor.;
pruefungssprache-027;Prüfungssprache;Prüfungsformulierungen;medium;Was bedeutet „Berücksichtigen Sie dabei ...“?;Der genannte Faktor muss in die Lösung einbezogen werden;Der genannte Faktor soll ignoriert werden;Nur dieser Faktor darf genannt werden;Der Faktor muss verdoppelt werden;0;„Berücksichtigen“ bedeutet in die Überlegung oder Berechnung einbeziehen.;
pruefungssprache-028;Prüfungssprache;Prüfungsformulierungen;medium;Was bedeutet „Vernachlässigen Sie ...“?;Der genannte Faktor soll für diese Aufgabe nicht berücksichtigt werden;Der Faktor soll besonders genau berechnet werden;Der Faktor soll verdoppelt werden;Der Faktor soll begründet werden;0;„Vernachlässigen“ bedeutet hier, den Faktor nicht in die Berechnung einzubeziehen.;
pruefungssprache-029;Prüfungssprache;Prüfungsformulierungen;medium;Was bedeutet „Welche Aussage trifft zu?“?;Es soll die richtige Aussage ausgewählt werden;Alle Aussagen sind automatisch richtig;Es soll eine Rechnung durchgeführt werden;Es soll nur die längste Aussage gewählt werden;0;„Trifft zu“ bedeutet „ist richtig“.;
pruefungssprache-030;Prüfungssprache;Prüfungsformulierungen;medium;Was bedeutet „Welche Aussage trifft nicht zu?“?;Es soll die falsche Aussage gefunden werden;Es soll die richtige Aussage gefunden werden;Alle Aussagen sollen erklärt werden;Es soll eine Zahl berechnet werden;0;Das Wort „nicht“ kehrt die Auswahl um: Gesucht ist die unzutreffende Aussage.;
pruefungssprache-031;Prüfungssprache;Textverständnis;medium;Was bedeutet „zutreffend“?;Richtig beziehungsweise passend;Unmöglich;Unvollständig;Besonders teuer;0;„Zutreffend“ bedeutet, dass eine Aussage richtig oder passend ist.;
pruefungssprache-032;Prüfungssprache;Textverständnis;medium;Was bedeutet „unzulässig“?;Nicht erlaubt;Empfohlen;Besonders günstig;Technisch schneller;0;„Unzulässig“ bedeutet nicht erlaubt oder nicht gestattet.;
pruefungssprache-033;Prüfungssprache;Textverständnis;medium;Was bedeutet „zulässig“?;Erlaubt beziehungsweise gestattet;Verboten;Unwirtschaftlich;Unbekannt;0;„Zulässig“ bedeutet erlaubt.;
pruefungssprache-034;Prüfungssprache;Textverständnis;medium;Was bedeutet „erforderlich“?;Notwendig;Optional;Verboten;Bereits abgeschlossen;0;„Erforderlich“ bedeutet notwendig.;
pruefungssprache-035;Prüfungssprache;Textverständnis;medium;Was bedeutet „ausreichend“?;Genug für den vorgesehenen Zweck;Zu wenig;Unzulässig;Sehr teuer;0;„Ausreichend“ bedeutet, dass etwas in genügendem Maß vorhanden ist.;
pruefungssprache-036;Prüfungssprache;Textverständnis;medium;Was bedeutet „geeignet“?;Für den vorgesehenen Zweck passend;Grundsätzlich verboten;Immer die billigste Lösung;Nicht verfügbar;0;„Geeignet“ bedeutet passend oder verwendbar für einen bestimmten Zweck.;
pruefungssprache-037;Prüfungssprache;Textverständnis;medium;Was bedeutet „zweckmäßig“?;Für den vorgesehenen Zweck sinnvoll und geeignet;Besonders teuer;Nur vorübergehend erlaubt;Mathematisch exakt;0;„Zweckmäßig“ beschreibt eine sinnvolle Lösung für den vorgesehenen Zweck.;
pruefungssprache-038;Prüfungssprache;Textverständnis;medium;Was bedeutet „gegebenenfalls“?;Falls es notwendig oder passend ist;Auf jeden Fall;Unter keinen Umständen;Nur am Ende;0;„Gegebenenfalls“ bedeutet „wenn nötig“ beziehungsweise „falls erforderlich“.;
pruefungssprache-039;Prüfungssprache;Textverständnis;medium;Was bedeutet die Abkürzung „ggf.“?;gegebenenfalls;gegeben für;gegenübergestellt;grundsätzlich gültig;0;„ggf.“ steht für „gegebenenfalls“.;
pruefungssprache-040;Prüfungssprache;Textverständnis;medium;Was bedeutet „beziehungsweise“ in vielen Prüfungsaufgaben?;Je nach Zusammenhang „oder genauer gesagt“ beziehungsweise „oder“;Immer „und“;Immer „aber“;Immer „deshalb“;0;„Beziehungsweise“ kann je nach Kontext präzisieren oder Alternativen verbinden.;
pruefungssprache-041;Prüfungssprache;Textverständnis;medium;Was bedeutet „hinsichtlich“?;In Bezug auf;Trotz;Ohne;Zusätzlich zu;0;„Hinsichtlich“ bedeutet „bezüglich“ oder „in Bezug auf“.;
pruefungssprache-042;Prüfungssprache;Textverständnis;medium;Was bedeutet „bezüglich“?;In Bezug auf;Unterhalb von;Anstelle von;Ohne Berücksichtigung von;0;„Bezüglich“ bezeichnet den Gegenstand, auf den sich eine Aussage bezieht.;
pruefungssprache-043;Prüfungssprache;Textverständnis;medium;Was bedeutet „im Hinblick auf“?;In Bezug auf einen bestimmten Aspekt;Ohne Bezug zu;Trotz eines Aspekts;Am Ende einer Aufgabe;0;Die Formulierung lenkt die Betrachtung auf einen bestimmten Aspekt.;
pruefungssprache-044;Prüfungssprache;Textverständnis;medium;Was bedeutet „entsprechend“?;Passend zu einer Vorgabe oder Situation;Vollständig unabhängig davon;Immer identisch;Automatisch falsch;0;„Entsprechend“ bedeutet einer Vorgabe oder einem Zusammenhang gemäß.;
pruefungssprache-045;Prüfungssprache;Textverständnis;medium;Was bedeutet „vorgegeben“?;Bereits festgelegt und als gegeben anzunehmen;Noch frei wählbar;Nicht relevant;Bereits falsch;0;Ein vorgegebener Wert oder eine Vorgabe ist bereits festgelegt.;
pruefungssprache-046;Prüfungssprache;Textverständnis;medium;Was bedeutet „jeweils“?;Für jedes genannte Element einzeln;Nur einmal insgesamt;Nur für das erste Element;Immer gleichzeitig;0;„Jeweils“ bedeutet für jedes einzelne Element beziehungsweise jeden einzelnen Fall.;
pruefungssprache-047;Prüfungssprache;Textverständnis;medium;Was bedeutet „mindestens“?;Der genannte Wert ist die Untergrenze;Der genannte Wert ist die Obergrenze;Genau dieser Wert ist erlaubt;Der Wert muss kleiner sein;0;„Mindestens“ bedeutet gleich viel oder mehr.;
pruefungssprache-048;Prüfungssprache;Textverständnis;medium;Was bedeutet „höchstens“?;Der genannte Wert ist die Obergrenze;Der genannte Wert ist die Untergrenze;Der Wert muss größer sein;Genau dieser Wert ist verboten;0;„Höchstens“ bedeutet gleich viel oder weniger.;
pruefungssprache-049;Prüfungssprache;Textverständnis;medium;Was bedeutet „nicht mehr als 20“?;Höchstens 20;Mindestens 20;Mehr als 20;Genau 21;0;„Nicht mehr als“ bezeichnet eine Obergrenze.;
pruefungssprache-050;Prüfungssprache;Textverständnis;medium;Was bedeutet „nicht weniger als 20“?;Mindestens 20;Höchstens 20;Weniger als 20;Genau 19;0;„Nicht weniger als“ bezeichnet eine Untergrenze.;

