id;category;topic;difficulty;question;answer1;answer2;answer3;answer4;correctAnswer;explanation;media
rechnungen-011;Rechnungen;Kostenbegriffe;medium;Was bedeutet „Einzelkosten“?;Kosten, die direkt einem bestimmten Auftrag oder Produkt zugerechnet werden können;Kosten, die immer gleich hoch bleiben;Kosten, die nur für die Verwaltung entstehen;Kosten, die auf alle Kunden gleich verteilt werden;0;Einzelkosten können einem bestimmten Kostenträger direkt zugerechnet werden.;
rechnungen-012;Rechnungen;Kostenbegriffe;medium;Was bedeutet „Gemeinkosten“?;Kosten, die nur bei einem einzelnen Auftrag entstehen;Kosten, die nicht direkt einem bestimmten Kostenträger zugerechnet werden können;Kosten, die ausschließlich aus Material bestehen;Kosten, die immer variabel sind;1;Gemeinkosten sind nicht direkt zurechenbar und müssen verteilt beziehungsweise umgelegt werden.;
rechnungen-013;Rechnungen;Kostenbegriffe;medium;Was bedeutet „Fixkosten“?;Kosten, die mit jeder zusätzlichen Einheit steigen;Kosten, die nur bei Gewinn entstehen;Kosten, die unabhängig von der Beschäftigungs- oder Absatzmenge anfallen;Kosten, die immer einem einzelnen Auftrag zugeordnet werden;2;Fixkosten bleiben grundsätzlich unabhängig von der Menge bestehen, zum Beispiel Miete oder Gehälter.;
rechnungen-014;Rechnungen;Kostenbegriffe;medium;Was bedeutet „variable Kosten“?;Kosten, die sich mit der Produktions- oder Auftragsmenge verändern;Kosten, die unabhängig von der Menge immer gleich bleiben;Kosten, die nur für die Geschäftsführung entstehen;Kosten, die nie einem Projekt zugeordnet werden können;0;Variable Kosten verändern sich mit der Menge, zum Beispiel Material oder nutzungsabhängige Cloud-Kosten.;
rechnungen-015;Rechnungen;Kostenbegriffe;medium;Was bedeutet das Wort „zurechenbar“ in der Kostenrechnung?;Eine Ausgabe kann einem bestimmten Auftrag oder Produkt zugeordnet werden;Eine Ausgabe muss sofort bezahlt werden;Eine Ausgabe wird vom Kunden zurückerstattet;Eine Ausgabe bleibt jedes Jahr gleich;0;„Zurechenbar“ bedeutet, dass eine Kostenposition einem bestimmten Kostenträger zugeordnet werden kann.;
rechnungen-016;Rechnungen;Kostenbegriffe;medium;Was bedeutet „Gemeinkosten werden auf Kostenträger umgelegt“?;Die Kosten werden vollständig gelöscht;Die Kosten werden nur einem einzigen Kunden berechnet;Die Kosten werden nach einem bestimmten Schlüssel auf Produkte oder Aufträge verteilt;Die Kosten werden als Gewinn verbucht;2;„Umgelegt“ bedeutet hier, dass die Gemeinkosten nach einem Verteilungsschlüssel auf Kostenträger verteilt werden.;
rechnungen-017;Rechnungen;Kostenbegriffe;medium;Was sind „Selbstkosten“?;Nur die variablen Kosten eines Produkts;Die Summe aus Einzelkosten und Gemeinkosten;Nur Material- und Personalkosten;Der Verkaufspreis inklusive Gewinn;1;Die Selbstkosten umfassen alle Kosten der Leistungserbringung und bestehen aus Einzel- und Gemeinkosten.;
rechnungen-018;Rechnungen;Kostenbegriffe;medium;Was beschreibt die „kurzfristige Preisuntergrenze“?;Die Selbstkosten plus Gewinn;Nur die Fixkosten;Die variablen beziehungsweise direkt zurechenbaren Kosten;Den höchsten möglichen Verkaufspreis;2;Kurzfristig kann ein Preis die variablen Kosten decken und trotzdem zur Deckung der Fixkosten beitragen.;
rechnungen-019;Rechnungen;Kostenbegriffe;medium;Was beschreibt die „langfristige Preisuntergrenze“?;Die Selbstkosten;Nur die Materialkosten;Nur die variablen Kosten;Den Listenverkaufspreis;0;Langfristig müssen sämtliche Kosten gedeckt werden, daher entspricht die Preisuntergrenze den Selbstkosten.;
rechnungen-020;Rechnungen;Kostenbegriffe;medium;Was sind „Herstellkosten“?;Nur die Materialeinzelkosten;Materialkosten plus Fertigungskosten;Selbstkosten plus Gewinn;Verwaltungskosten plus Vertriebskosten;1;Die Herstellkosten ergeben sich aus Material- und Fertigungskosten.;
rechnungen-021;Rechnungen;Deckungsbeitrag;medium;Was beschreibt der Deckungsbeitrag pro Stück?;Wie viel vom Verkaufspreis nach Abzug der variablen Kosten übrig bleibt;Wie hoch die Fixkosten pro Jahr sind;Wie viel Gewinn das Unternehmen insgesamt erzielt;Wie hoch die Selbstkosten sind;0;Der Stückdeckungsbeitrag ist Verkaufspreis minus variable Kosten pro Stück.;
rechnungen-022;Rechnungen;Textverständnis;medium;Was bedeutet in einem Aufgabentext „nach Abzug der variablen Kosten“?;Die variablen Kosten werden zum Preis addiert;Die variablen Kosten werden vom Preis subtrahiert;Die Fixkosten werden verdoppelt;Der Verkaufspreis wird ignoriert;1;„Nach Abzug“ bedeutet, dass ein Betrag abgezogen beziehungsweise subtrahiert wurde.;
rechnungen-023;Rechnungen;Textverständnis;medium;Was bedeutet „Ein Produkt trägt zur Deckung der Fixkosten bei“?;Der Deckungsbeitrag hilft dabei, die Fixkosten des Unternehmens zu bezahlen;Die Fixkosten werden automatisch geringer;Das Produkt verursacht keine variablen Kosten mehr;Der Verkaufspreis entspricht immer den Selbstkosten;0;Ein positiver Deckungsbeitrag steht zur Verfügung, um Fixkosten zu decken.;
rechnungen-024;Rechnungen;Deckungsbeitrag;medium;Wie wird der Gesamtdeckungsbeitrag berechnet?;Verkaufspreis minus Fixkosten;Stückdeckungsbeitrag mal Absatzmenge;Fixkosten mal Absatzmenge;Selbstkosten plus Gewinn;1;Der Gesamtdeckungsbeitrag ist Stückdeckungsbeitrag multipliziert mit der Absatzmenge.;
rechnungen-025;Rechnungen;Deckungsbeitrag;medium;Was bedeutet ein positiver Deckungsbeitrag I?;Das Produkt trägt zur Deckung der Fixkosten bei;Das Produkt verursacht garantiert einen Gesamtverlust;Alle Fixkosten sind bereits vollständig gedeckt;Das Produkt hat keine variablen Kosten;0;Ein positiver DB I bedeutet, dass nach Abzug der variablen Kosten noch ein positiver Beitrag verbleibt.;
rechnungen-026;Rechnungen;Deckungsbeitrag;medium;Was berücksichtigt der Deckungsbeitrag II zusätzlich zum Deckungsbeitrag I?;Mehrwertsteuer;Produktfixe Kosten;Alle Gemeinkosten des gesamten Unternehmens;Nur Materialkosten;1;DB II ergibt sich aus DB I minus produktfixe Kosten.;
rechnungen-027;Rechnungen;Break-Even;medium;Was ist der Break-Even-Point?;Der Punkt mit dem höchsten Gewinn;Der Punkt, an dem Erlöse und Gesamtkosten gleich hoch sind;Der niedrigste Einkaufspreis;Der Zeitpunkt, an dem keine Fixkosten mehr existieren;1;Am Break-Even-Point ist das Ergebnis null, also weder Gewinn noch Verlust.;
rechnungen-028;Rechnungen;Break-Even;medium;Welcher deutsche Begriff wird für „Break-Even-Point“ verwendet?;Preisuntergrenze;Gewinnschwelle;Deckungsquote;Kostenstelle;1;Der Break-Even-Point wird auch als Gewinnschwelle bezeichnet.;
rechnungen-029;Rechnungen;Textverständnis;medium;Eine Aufgabe fragt: „Ab welcher Absatzmenge beginnt das Unternehmen, Gewinn zu machen?“ Welche Kennzahl ist gesucht?;ROI;TCO;Break-Even-Point;Produktivität;2;Die Frage nach der notwendigen Absatzmenge bis zur Gewinnzone beschreibt den Break-Even-Point.;
rechnungen-030;Rechnungen;Break-Even;medium;Was bedeutet „weder Gewinn noch Verlust“?;Das Unternehmen arbeitet genau kostendeckend;Das Unternehmen hat keine Fixkosten;Der Umsatz beträgt null;Das Unternehmen erzielt maximalen Gewinn;0;Am Break-Even decken die Erlöse genau die Gesamtkosten.;
rechnungen-031;Rechnungen;Break-Even;medium;Was beschreibt die „Sicherheitsspanne“ beim Break-Even?;Den Abstand zwischen tatsächlichem Absatz und Break-Even-Menge;Die Höhe der Mehrwertsteuer;Die Differenz zwischen Einkaufspreis und Verkaufspreis;Die jährlichen Fixkosten;0;Die Sicherheitsspanne zeigt, wie weit der tatsächliche Absatz über der Break-Even-Menge liegt.;
rechnungen-032;Rechnungen;Wirtschaftlichkeit;medium;Was misst die Wirtschaftlichkeit?;Das Verhältnis von Ertrag zu Aufwand in Geldeinheiten;Nur die Anzahl produzierter Stücke;Die Zahl der Mitarbeiter;Nur die Höhe der Fixkosten;0;Die Wirtschaftlichkeit wird als Ertrag geteilt durch Aufwand berechnet.;
rechnungen-033;Rechnungen;Wirtschaftlichkeit;medium;Was bedeutet „Ertrag“ im Zusammenhang mit der Wirtschaftlichkeit?;Die eingesetzten Kosten;Der wirtschaftliche Wert beziehungsweise die erzielte Leistung in Geldeinheiten;Die Anzahl der Mitarbeiter;Nur der Gewinn nach Steuern;1;Bei der Wirtschaftlichkeit wird der Ertrag dem Aufwand gegenübergestellt.;
rechnungen-034;Rechnungen;Wirtschaftlichkeit;medium;Was bedeutet „Aufwand“ in der Formel zur Wirtschaftlichkeit?;Die eingesetzten wirtschaftlichen Mittel beziehungsweise Kosten;Der erzielte Umsatz;Die Absatzmenge;Der Deckungsbeitrag pro Stück;0;Der Aufwand beschreibt den wirtschaftlichen Einsatz, der dem Ertrag gegenübergestellt wird.;
rechnungen-035;Rechnungen;Wirtschaftlichkeit;medium;Was bedeutet eine Wirtschaftlichkeit von 1,25?;Der Aufwand ist höher als der Ertrag;Das Unternehmen arbeitet wirtschaftlich;Das Unternehmen arbeitet genau kostendeckend;Das Unternehmen hat 25 % Verlust;1;Ein Wert über 1 bedeutet, dass der Ertrag den Aufwand übersteigt.;
rechnungen-036;Rechnungen;Wirtschaftlichkeit;medium;Was bedeutet eine Wirtschaftlichkeit von genau 1,0?;25 % Gewinn;Unwirtschaftlich;Kostendeckend;Keine variablen Kosten;2;Bei 1,0 sind Ertrag und Aufwand gleich hoch.;
rechnungen-037;Rechnungen;Wirtschaftlichkeit;medium;Was bedeutet eine Wirtschaftlichkeit kleiner als 1,0?;Der Ertrag ist höher als der Aufwand;Das Unternehmen arbeitet unwirtschaftlich;Das Unternehmen ist automatisch am Break-Even;Die Produktivität ist sehr hoch;1;Ein Wert unter 1 bedeutet, dass der Aufwand höher als der Ertrag ist.;
rechnungen-038;Rechnungen;Produktivität;medium;Was misst die Produktivität?;Ertrag geteilt durch Aufwand in Euro;Output im Verhältnis zum Input in Mengeneinheiten;Gewinn geteilt durch Kapital;Fixkosten geteilt durch Deckungsbeitrag;1;Produktivität beschreibt das Verhältnis von Output zu Input in Mengeneinheiten.;
rechnungen-039;Rechnungen;Produktivität;medium;Ein Helpdesk bearbeitet 600 Tickets mit 5 Mitarbeitern. Welche Größe wird mit 600 / 5 berechnet?;Wirtschaftlichkeit;ROI;Arbeitsproduktivität;Break-Even-Umsatz;2;Tickets pro Mitarbeiter sind eine mengenmäßige Produktivitätskennzahl.;
rechnungen-040;Rechnungen;Textverständnis;medium;Was ist der wichtigste Unterschied zwischen Wirtschaftlichkeit und Produktivität?;Wirtschaftlichkeit verwendet Geldeinheiten, Produktivität Mengeneinheiten;Produktivität verwendet nur Euro, Wirtschaftlichkeit nur Stückzahlen;Beide Kennzahlen sind identisch;Wirtschaftlichkeit wird nur bei Verlust berechnet;0;Wirtschaftlichkeit betrachtet Ertrag und Aufwand in Geld, Produktivität dagegen Output und Input in Mengen.;
rechnungen-041;Rechnungen;TCO;medium;Was bedeutet „Total Cost of Ownership“?;Nur der Anschaffungspreis eines Systems;Alle Kosten eines Systems über seine gesamte Nutzungsdauer;Nur Wartungs- und Reparaturkosten;Der Gewinn, den ein System erzeugt;1;TCO erfasst die Gesamtkosten einer Investition über die gesamte Lebensdauer.;
rechnungen-042;Rechnungen;TCO;medium;Was sind „Anschaffungskosten“?;Kosten für den Kauf beziehungsweise die erstmalige Beschaffung eines Systems;Kosten für tägliche Stromnutzung;Kosten für Schulungen nach fünf Jahren;Gewinn aus dem Verkauf eines Systems;0;Anschaffungskosten entstehen bei der Beschaffung beziehungsweise Einrichtung einer Investition.;
rechnungen-043;Rechnungen;TCO;medium;Was sind „Betriebskosten“ im TCO-Kontext?;Laufende Kosten wie Strom, Lizenzen oder Cloud-Nutzung;Nur der Kaufpreis der Hardware;Nur Entsorgungskosten;Der erwartete Gewinn;0;Betriebskosten fallen während des laufenden Betriebs eines Systems an.;
rechnungen-044;Rechnungen;TCO;medium;Was gehört typischerweise zu den Wartungskosten?;Support, Reparaturen und Updates;Nur der Kaufpreis;Nur Werbung;Nur Mehrwertsteuer;0;Wartungskosten umfassen unter anderem Support, Reparaturen und Updates.;
rechnungen-045;Rechnungen;TCO;medium;Was bedeutet „Nutzungsdauer“?;Die Zeitspanne, über die ein System verwendet wird;Die Dauer einer einzelnen Reparatur;Die Arbeitszeit eines Mitarbeiters pro Tag;Die Lieferzeit eines Produkts;0;Die Nutzungsdauer ist der Zeitraum, über den eine Investition beziehungsweise ein System genutzt wird.;
rechnungen-046;Rechnungen;ROI-Amortisation;medium;Was misst der ROI?;Wie rentabel eine Investition im Verhältnis zum eingesetzten Kapital ist;Wie viele Stücke produziert werden;Wie hoch die Fixkosten sind;Wann ein Produkt geliefert wird;0;Der ROI setzt den Gewinn ins Verhältnis zum eingesetzten Kapital und wird in Prozent angegeben.;
rechnungen-047;Rechnungen;ROI-Amortisation;medium;Was bedeutet „eingesetztes Kapital“ beim ROI?;Das Kapital, das für die Investition eingesetzt beziehungsweise gebunden wurde;Der Umsatz des gesamten Unternehmens;Nur die variablen Kosten;Die Absatzmenge;0;Beim ROI wird der Gewinn auf das für die Investition eingesetzte Kapital bezogen.;
rechnungen-048;Rechnungen;ROI-Amortisation;medium;Was beschreibt die Amortisationsdauer?;Wie lange es dauert, bis sich eine Investition durch Rückflüsse zurückgezahlt hat;Wie lange ein Mitarbeiter täglich arbeitet;Wie lange ein Produkt im Lager liegt;Wie lange eine Rechnung gültig ist;0;Die Amortisationsdauer zeigt, nach welcher Zeit die Investition wirtschaftlich zurückgeflossen ist.;
rechnungen-049;Rechnungen;ROI-Amortisation;medium;Was bedeutet „Rückfluss“ bei der Amortisationsrechnung?;Ein wirtschaftlicher Mittelzufluss, der zur Rückzahlung der Investition beiträgt;Eine zusätzliche Ausgabe;Eine neue Fixkostenposition;Eine Preisreduzierung;0;Der Rückfluss ist der Betrag, der aus der Investition zurückkommt und zur Amortisation beiträgt.;
rechnungen-050;Rechnungen;Textverständnis;medium;Eine Aufgabe fragt: „Lohnt sich die Investition?“ Was soll normalerweise beurteilt werden?;Ob die Investition wirtschaftlich sinnvoll beziehungsweise rentabel ist;Ob die Datei korrekt gespeichert wurde;Ob die Fixkosten vollständig verschwinden;Ob der Verkaufspreis höher als 1 € ist;0;„Lohnt sich“ bedeutet, dass geprüft werden soll, ob eine Investition wirtschaftlich sinnvoll oder rentabel ist.;
rechnungen-051;Rechnungen;Textverständnis;medium;Was bedeutet „beträgt“ in dem Satz „Der Verkaufspreis beträgt 120 €“?;Der Verkaufspreis wird um 120 € erhöht;Der Verkaufspreis liegt bei 120 €;Der Verkaufspreis wird halbiert;Der Verkaufspreis wird noch berechnet;1;„Beträgt“ bedeutet hier „ist“ beziehungsweise „hat den Wert“.;
rechnungen-052;Rechnungen;Textverständnis;medium;Was bedeutet „mindestens 200 Stück“?;Genau 200 Stück und niemals mehr;Höchstens 200 Stück;200 Stück oder mehr;Weniger als 200 Stück;2;„Mindestens“ bedeutet, dass 200 die Untergrenze ist. Mehr ist möglich.;
rechnungen-053;Rechnungen;Textverständnis;medium;Was bedeutet „höchstens 500 €“?;500 € oder weniger;Genau 500 €;500 € oder mehr;Mehr als 500 €;0;„Höchstens“ bezeichnet eine Obergrenze.;
rechnungen-054;Rechnungen;Textverständnis;medium;Was bedeutet „zusätzliche 100 Stück“?;100 Stück weniger;100 Stück zusätzlich zur bisherigen Menge;Eine Gesamtmenge von genau 100 Stück;100 Stück werden storniert;1;„Zusätzlich“ bedeutet, dass die Menge zur bereits vorhandenen Menge hinzukommt.;
rechnungen-055;Rechnungen;Textverständnis;medium;Was bedeutet „die Kosten steigen um 2.000 €“?;Die neuen Kosten betragen immer genau 2.000 €;Von den Kosten werden 2.000 € abgezogen;Zu den bisherigen Kosten kommen 2.000 € hinzu;Die Kosten werden auf 2.000 € begrenzt;2;„Steigen um“ bedeutet eine Erhöhung um den genannten Betrag.;
rechnungen-056;Rechnungen;Textverständnis;medium;Was bedeutet „die Kosten sinken auf 800 €“?;Die Kosten werden um 800 € reduziert;Der neue Wert der Kosten beträgt 800 €;Zu den Kosten kommen 800 € hinzu;Die Kosten sinken um genau 800 €;1;„Sinken auf“ nennt den neuen Endwert. „Sinken um“ würde dagegen die Höhe der Verringerung angeben.;
rechnungen-057;Rechnungen;Textverständnis;medium;Was bedeutet „der Preis sinkt um 20 €“?;Der neue Preis beträgt immer 20 €;Vom bisherigen Preis werden 20 € abgezogen;Der Preis wird auf 20 € gesetzt;Zum bisherigen Preis kommen 20 € hinzu;1;„Sinkt um 20 €“ bedeutet, dass der bisherige Preis um 20 € reduziert wird.;
rechnungen-058;Rechnungen;Textverständnis;medium;Ein Preis steigt von 100 € auf 130 €. Was bedeutet „auf 130 €“?;130 € ist die Höhe der Erhöhung;130 € ist der neue Preis;Der Preis wurde um 130 € erhöht;Der alte Preis war 130 €;1;„Auf“ bezeichnet bei einer Veränderung normalerweise den neuen Endwert.;
rechnungen-059;Rechnungen;Textverständnis;medium;Was bedeutet „pro Stück“?;Für die gesamte Absatzmenge;Für jede einzelne Einheit;Nur für das erste Produkt;Pro Jahr;1;„Pro Stück“ bedeutet je einzelne verkaufte oder produzierte Einheit.;
rechnungen-060;Rechnungen;Textverständnis;medium;Was bedeutet „insgesamt“ in einer Rechenaufgabe?;Nur einen einzelnen Teilbetrag;Die Summe aller relevanten Werte;Den kleinsten Wert;Nur den Durchschnitt;1;„Insgesamt“ weist darauf hin, dass ein Gesamtwert beziehungsweise eine Summe gesucht ist.;
rechnungen-061;Rechnungen;Textverständnis;medium;Was bedeutet „anteilig“ bei Gemeinkosten?;Die gesamten Gemeinkosten werden einem einzigen Auftrag zugerechnet;Nur ein entsprechender Anteil der Gemeinkosten wird zugerechnet;Die Gemeinkosten werden vollständig ignoriert;Die Gemeinkosten werden verdoppelt;1;„Anteilig“ bedeutet, dass nur ein bestimmter Anteil eines Gesamtbetrags zugerechnet wird.;
rechnungen-062;Rechnungen;Textverständnis;medium;Was bedeutet „die Fixkosten sind gedeckt“?;Die Fixkosten wurden vollständig durch Erlöse beziehungsweise Deckungsbeiträge ausgeglichen;Die Fixkosten wurden abgeschafft;Es entstehen keine variablen Kosten mehr;Das Unternehmen hat automatisch hohen Gewinn;0;„Gedeckt“ bedeutet, dass für diese Kosten genügend Erträge oder Deckungsbeiträge vorhanden sind.;
rechnungen-063;Rechnungen;Textverständnis;medium;Was bedeutet „kein Verlust entsteht“?;Das Ergebnis ist mindestens null;Das Unternehmen macht immer hohen Gewinn;Die Fixkosten betragen null;Es gibt keine Kosten;0;Wenn kein Verlust entsteht, ist das Ergebnis null oder positiv.;
rechnungen-064;Rechnungen;Textverständnis;medium;Eine Aufgabe fragt „Lohnt sich der Zusatzauftrag aus Sicht des Deckungsbeitrags?“ Worauf soll besonders geachtet werden?;Ob der zusätzliche Verkaufspreis die zusätzlichen variablen Kosten übersteigt;Ob die gesamte Firma keine Fixkosten hat;Ob das Produkt besonders teuer aussieht;Ob der Kunde bar bezahlt;0;Für einen Zusatzauftrag ist aus Deckungsbeitragssicht entscheidend, ob ein positiver zusätzlicher Deckungsbeitrag entsteht.;
rechnungen-065;Rechnungen;Deckungsbeitrag;medium;Ein Produkt kostet 80 €. Die variablen Stückkosten betragen 50 €. Wie hoch ist der Stückdeckungsbeitrag?;20 €;30 €;50 €;130 €;1;Deckungsbeitrag pro Stück = 80 € - 50 € = 30 €.;
rechnungen-066;Rechnungen;Deckungsbeitrag;medium;Ein Service kostet 100 € pro Monat. Die variablen Kosten betragen 25 € pro Kunde. Wie hoch ist der Deckungsbeitrag pro Kunde?;25 €;75 €;100 €;125 €;1;100 € - 25 € = 75 € Deckungsbeitrag.;
rechnungen-067;Rechnungen;Deckungsbeitrag;medium;Der Stückdeckungsbeitrag beträgt 40 € und es werden 200 Stück verkauft. Wie hoch ist der Gesamtdeckungsbeitrag?;8.000 €;240 €;5.000 €;40.200 €;0;Gesamtdeckungsbeitrag = 40 € × 200 = 8.000 €.;
rechnungen-068;Rechnungen;Deckungsbeitrag;medium;Der Gesamtdeckungsbeitrag beträgt 15.000 € und die Fixkosten betragen 12.000 €. Wie hoch ist das Betriebsergebnis?;3.000 €;27.000 €;12.000 €;-3.000 €;0;Betriebsergebnis = Gesamtdeckungsbeitrag - Fixkosten = 3.000 €.;
rechnungen-069;Rechnungen;Deckungsbeitrag;medium;Ein Produkt wird für 60 € verkauft. Die variablen Kosten betragen 45 €. Wie hoch ist der Deckungsbeitrag in Prozent vom Verkaufspreis?;15 %;20 %;25 %;75 %;2;Der Deckungsbeitrag beträgt 15 €. 15 / 60 × 100 = 25 %.;
rechnungen-070;Rechnungen;Textverständnis;medium;Eine Aufgabe sagt „500 weitere Stück für 5 € pro Stück abnehmen“. Was bedeutet „abnehmen“ hier?;Die Stückzahl reduzieren;Die Ware kaufen beziehungsweise übernehmen;Den Preis senken;Die Ware kostenlos zurückgeben;1;Im wirtschaftlichen Kontext bedeutet „Ware abnehmen“, dass ein Kunde sie kauft beziehungsweise übernimmt.;
rechnungen-071;Rechnungen;Break-Even;medium;Die Fixkosten betragen 6.000 €. Der Deckungsbeitrag pro Stück beträgt 30 €. Wie hoch ist die Break-Even-Menge?;180 Stück;200 Stück;30 Stück;6.030 Stück;1;BEP = Fixkosten / Stückdeckungsbeitrag = 6.000 / 30 = 200 Stück.;
rechnungen-072;Rechnungen;Break-Even;medium;Ein Unternehmen verkauft ein Produkt für 50 €. Die variablen Kosten betragen 20 €. Die Fixkosten betragen 9.000 €. Welcher Wert wird zuerst für die Break-Even-Berechnung benötigt?;Der Stückdeckungsbeitrag von 30 €;Der Umsatz von 9.000 €;Die Mehrwertsteuer;Der Gewinnzuschlag;0;Zuerst wird der Stückdeckungsbeitrag berechnet: 50 € - 20 € = 30 €.;
rechnungen-073;Rechnungen;Break-Even;medium;Bei einer Break-Even-Menge von 300 Stück und einem Verkaufspreis von 40 € pro Stück beträgt der Break-Even-Umsatz:;7.500 €;12.000 €;340 €;40 €;1;Break-Even-Umsatz = 300 × 40 € = 12.000 €.;
rechnungen-074;Rechnungen;Textverständnis;medium;Was bedeutet die Frage „Ab wie vielen Kunden ist der Service profitabel?“;Gesucht ist eine Mindestkundenzahl für einen positiven Gewinn;Gesucht ist die maximale Kundenzahl;Gesucht ist nur der Preis pro Kunde;Gesucht sind ausschließlich die Fixkosten;0;„Ab wie vielen“ fragt nach der unteren Grenze, ab der eine Bedingung erfüllt ist.;
rechnungen-075;Rechnungen;Break-Even;medium;Ein Unternehmen liegt mit seiner Absatzmenge genau am Break-Even-Point. Wie hoch ist sein Betriebsergebnis?;Positiv;Negativ;Null;Es kann nicht bestimmt werden;2;Am Break-Even sind Erlöse und Gesamtkosten gleich hoch. Das Ergebnis ist null.;
rechnungen-076;Rechnungen;Textverständnis;medium;Was bedeutet „die Gewinnzone“?;Ein Bereich, in dem Erlöse die Gesamtkosten übersteigen;Ein Bereich ohne Umsatz;Ein Bereich mit ausschließlich Fixkosten;Ein Bereich unterhalb des Break-Even;0;Oberhalb des Break-Even befindet sich das Unternehmen in der Gewinnzone.;
rechnungen-077;Rechnungen;Wirtschaftlichkeit;medium;Ein Projekt erzielt 120.000 € Ertrag bei 100.000 € Aufwand. Wie hoch ist die Wirtschaftlichkeit?;0,83;1,00;1,20;20,00;2;Wirtschaftlichkeit = 120.000 / 100.000 = 1,20.;
rechnungen-078;Rechnungen;Wirtschaftlichkeit;medium;Ein Projekt hat eine Wirtschaftlichkeit von 0,90. Welche Aussage ist richtig?;Der Ertrag ist größer als der Aufwand;Das Projekt arbeitet kostendeckend;Der Aufwand ist größer als der Ertrag;Die Produktivität beträgt 90 Stück;2;Ein Wert unter 1 bedeutet, dass der Aufwand den Ertrag übersteigt.;
rechnungen-079;Rechnungen;Wirtschaftlichkeit;medium;Ein Unternehmen erzielt 50.000 € Ertrag bei 50.000 € Aufwand. Wie hoch ist die Wirtschaftlichkeit?;0,5;1,0;2,0;50.000;1;50.000 / 50.000 = 1,0. Das Unternehmen arbeitet kostendeckend.;
rechnungen-080;Rechnungen;Textverständnis;medium;Was bedeutet „welche Abteilung arbeitet wirtschaftlicher?“;Welche Abteilung hat den höheren Wert bei Ertrag geteilt durch Aufwand;Welche Abteilung hat mehr Mitarbeiter;Welche Abteilung hat die höchsten Kosten;Welche Abteilung verkauft mehr Stück unabhängig von den Kosten;0;Zum Vergleich der Wirtschaftlichkeit wird das Verhältnis Ertrag zu Aufwand betrachtet.;
rechnungen-081;Rechnungen;Produktivität;medium;Ein Helpdesk löst 1.200 Tickets mit 6 Mitarbeitern. Wie hoch ist die Produktivität pro Mitarbeiter?;72 Tickets;200 Tickets;1.206 Tickets;7.200 Tickets;1;1.200 / 6 = 200 Tickets pro Mitarbeiter.;
